1, A, 2
2, AK, 3
3, AKS, 4
4, AKSC, 5
5, AKSCA, 6
6, AKSCAL, 7
7, AKSCALA, 8
8, AKSCALAR, 9
9, AKSCALARI, 10
10, AKSCALARIA, 11
11, AKSCALARIAS, 12
12, AKSCALARIASD, 13
13, AKSCALARIASDC, 14
14, AKSCALARIASDCO, 15
15, AKSCALARIASDCOH, 16
16, AKSCALARIASDCOHI, 17
18, CACOHIAKSCTNALARID, 20
19, CAKSCOHICTNALARIASD, 26
20, ACAKSCOHICTNALARIASD, 41
21, COHIAKSCALARIDASDCTNC, 545
22, NAKSDCALARIASCOHINCTND, 1849
23, GAKCAHIALARIDCOKSCTNASD, 11152
23, GAKCAHIALARIDCOKSCTNASD, 11152
23, GAKCALAHIARIDCOKSCTNASD, 11154
23, GAKCALARIAHIDCOKSCTNASD, 11157
23, MAKCAHIALARIDCOKSCTNASD, 16332
23, MAKCALAHIARIDCOKSCTNASD, 16334
23, MAKCALARIAHIDCOKSCTNASD, 16337
23, PAKCAHIALARIDCOKSCTNASD, 22609
23, PAKCALAHIARIDCOKSCTNASD, 22611
23, PAKCALARIAHIDCOKSCTNASD, 22614
23, VAKCAHIALARIDCOKSCTNASD, 32279
23, VAKCALAHIARIDCOKSCTNASD, 32281
23, VAKCALARIAHIDCOKSCTNASD, 32284
23, WAKCAHIALARIDCOKSCTNASD, 34830
23, WAKCALAHIARIDCOKSCTNASD, 34832
23, WAKCALARIAHIDCOKSCTNASD, 34835
23, CACMAKSCOHIALARIDCTNASD, 38323
23, ACCAKHIALARIDCOKSCTNASD, 39946
23, ACCAKSCOHIALDCTNARILASD, 40030
23, ACAKCHIALARIDCOKSCTNASD, 40224
23, ACAVAKSCOHIALARIDCTNASD, 40909
23, ACAKSCOHIALCDCTNARILASD, 41349
23, ACAKSCOHIAMALARIDCTNASD, 41469
23, ACAKSCOHIAVALARIDCTNASD, 41655
23, ACAKSCOHIALAMARIDCTNASD, 41844
23, AKCCAHIALARIDCOKSCTNASD, 41970
23, AKCCALAHIARIDCOKSCTNASD, 41972
23, AKCCALARIAHIDCOKSCTNASD, 41975
23, AKCACHIALARIDCOKSCTNASD, 42027
23, AKCALACHIARIDCOKSCTNASD, 42211
23, AKCAOHIALARIDOKSCTNASDC, 42751
23, AKCAOHIALARIDCOKSCTNASD, 42752
23, AKCALAOHIARIDOKSCTNASDC, 42788
23, AKCALAOHIARIDCOKSCTNASD, 42789
23, AKCALARIAOHIDOKSCTNASDC, 42840
23, AKCALARIAOHIDCOKSCTNASD, 42841
23, AKSCACCOHIALDCTNARILASD, 44761
23, AKSCACOHIALCDCTNARILASD, 45597
23, AKSCACOHIAMALARIDCTNASD, 45717
23, AKSCACOHIAVALARIDCTNASD, 45903
23, AKSCACOHIALAMARIDCTNASD, 46092
23, AKSCALCCOHIADCTNARILASD, 46272
23, AKSCALCOHIACDCTNARILASD, 46882
23, AKSCALACOHIAMARIDCTNASD, 48391
23, CCAKCHIALARIDCOKSCTNASD, 59124
